Country,Amount,Date
"Egypt","39.82 km",2014
"Singapore","24 km",2013
"Denmark","22.67 km",2014
"Japan","18.88 km",2014
"Taiwan","17.5 km",2014
"Bangladesh","14.67 km",2013
"Qatar","13.38 km",2014
"Bolivia","13 km",2014
"Panama","12.38 km",2014
"Hong Kong","12 km",2013
"Georgia","11 km",2013
"Brazil","10.83 km",2014
"Austria","10 km",2014
"Ecuador","10 km",2013
"Israel","9.5 km",2014
"Kazakhstan","9 km",2014
"United States","8.79 km",2014
"Colombia","8.67 km",2013
"Turkey","7.67 km",2014
"Romania","7.59 km",2014
"Malaysia","7 km",2014
"Jordan","7 km",2014
"Ukraine","7 km",2014
"Kenya","7 km",2014
"Spain","6.58 km",2014
"Indonesia","6.42 km",2014
"Italy","5.94 km",2014
"Mexico","5.73 km",2014
"Russia","5.67 km",2014
"India","5.39 km",2014
"Chile","5.33 km",2014
"Sweden","5.33 km",2013
"Portugal","5.07 km",2014
"Germany","5.03 km",2014
"Belarus","5 km",2014
"Puerto Rico","4.83 km",2013
"Czech Republic","4.5 km",2014
"Slovakia","4.5 km",2014
"Philippines","4.5 km",2014
"Canada","4.46 km",2014
"Australia","4.17 km",2014
"Bulgaria","4.17 km",2014
"New Zealand","4.17 km",2013
"Poland","3.82 km",2014
"Norway","3.79 km",2014
"Syria","3.32 km",2013
"Greece","3.27 km",2014
"Switzerland","3.18 km",2014
"United Kingdom","3.17 km",2014
"Mongolia","3.17 km",2013
"Netherlands","3 km",2014
"South Korea","3 km",2013
"Argentina","3 km",2013
"Croatia","2.75 km",2014
"Finland","2.55 km",2014
"Cyprus","2.5 km",2014
"Hungary","2.5 km",2014
"Bosnia and Herzegovina","2.33 km",2013
"Ireland","2.12 km",2014
"Armenia","2 km",2014
"Venezuela","2 km",2014
"Slovenia","2 km",2014
"Serbia","1.96 km",2013
"France","1.68 km",2014
"Saudi Arabia","1.5 km",2013
"Lithuania","1.43 km",2013
"Belgium","1.35 km",2014
"Iran","1.25 km",2013
"South Africa","1 km",2014
"Pakistan","1 km",2014
"United Arab Emirates","1 km",2014
"Thailand","1 km",2014
"Lebanon","1 km",2013
"Estonia","1 km",2013
"Uruguay","1 km",2013
"Kuwait","1 km",2013
"China","0.7 km",2014
